statename,1,2,3
North Dakota,CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINERALS,"LT OILS, PREPS GT=70% PETRO","MECH FRONT-END SHOVEL LOADERS, SELF-PROPELLED"
Ohio,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","SOYBEANS, NESOI",PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC
Oklahoma,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.S.O.I",TAPS COCKS ETC F PIPE VAT INC THERMO CONTROL NESO
Oregon,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT",MACHINES FOR MAN. SEMICONDUTOR DEVICES/ELEC IC,"WHEAT AND MESLIN, NESOI"
Pennsylvania,"BITUMINOUS COAL, NOT AGGLOMERATED","MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK NESOI",VACCINES FOR HUMAN MEDICINE
Puerto Rico,"MEDICAMENTS NESOI, MEASURED DOSES, RETAIL PK NESOI","IMMUNOLOGICAL PRODUCTS, IN MEASURED DOESE/RTL SALE",POLYPEPTIDE PROTEIN& GLYCOPROTEIN HORMONES &DERIV
Rhode Island,FERROUS WASTE & SCRAP NESOI,WASTE AND SCRAP OF PRECIOUS METAL NESOI,WASTE & SCRAP GOLD EXCL SWPNGS CNTNG OTH PREC MTLS
South Carolina,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",PASS VEH SPK-IG INT COM R,PASS VEH COM-IG INT COM ENG > 2500 CC
South Dakota,"BREWING OR DISTILLING DREGS AND WASTE, W/NT PELLET","SOYBEAN OILCAKE & OTH SOLID RESIDUE,","MEAT, SWINE, HAMS, SHLDRS, BONE IN, FRSH OR CHLLD"
Tennessee,"INSTR & APPL F MEDICAL SURGICAL DENTAL VET, NESOI","CIVILIAN AIRCRAFT, ENGINES, AND PARTS",PASS VEH SPK-IG INT COM RCPR P ENG > 3000 CC
Texas,PETROL OIL BITUM MINERA,"LT OILS, PREPS GT=70% PETRO",CRUDE OIL FROM PETROLEUM AND BITUMINOUS MINERALS
Unidentified,"PARTS AND ACCESSORIES OF MOTOR VEHICLES, NESOI","PTS & ACCESS OF BODIES OF MOTOR VEHICLES, NESOI","ARTICLES OF PLASTICS, NESOI"
Utah,"GOLD, NONMONETARY, UNWROUGHT NESOI","MEMORIES, ELECTRONIC INTEGRATED CIRCUITS",FOOD PREPARATIONS NESOI
Vermont,"PROCESSORS AND CONTROLLERS, ELECTRONIC INTEG CIRCT","ELECTRONIC INTEGRATED CIRCUITS, NESOI","ARTCL/EQUIP F GEN PHYS EXERC, GYMN ETC NESOI; PTS"
Virgin Islands,PETROL OIL BITUM MINERA,"LT OILS, PREPS GT=70% PETRO","JEWELRY AND PARTS THEREOF, OF OTH PRECIOUS METAL"
Virginia,"BITUMINOUS COAL, NOT AGGLOMERATED","MEMORIES, ELECTRONIC INTEGRATED CIRCUITS","SOYBEANS, NESOI"
Washington,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","SOYBEANS, NESOI","WHEAT AND MESLIN, NESOI"
West Virginia,"BITUMINOUS COAL, NOT AGGLOMERATED",SPARK-IGNTN RECPRCTING PISTON ENGINE,GEARS; BALL OR ROLLER SC
Wisconsin,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS","TANK & OT ARMORED FIGHT VEH, MOTORIZED; AND PARTS",COMPUTED TOMOGRAPHY APPARATUS
Wyoming,DISODIUM CARBONATE,"RARE GASES, OTHER THAN ARGON","BENTONITE, INCLUDING CALCINED"
